Date,Country,Local,Industry,Accident_level,Pot_acc_level,Gender,Emp_type,Critical_risk,Description,Day,Month,Year,Weekday
2016-08-24,country_02,local_05,metals,1,2,male,employee,cut,"the servant would remove the dishes from the bowl of the sink and when picking up a set of plates, there was one of them with the broken / broken edge, causing injury to his 3rd chiropactyl from his right hand.",24,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C3C8>
2016-08-25,country_01,local_03,mining,1,4,male,employee,others,"at times when the collaborator was performing the evacuation of inchancables from the mine, present in strip ° 1, of phase he notices a piece of support mesh positioned between the frame and the return belt; after several attempts to remove this mesh, with the belt in movement and using a metal rake as support, the mesh yields moving in the direction of rotation of the return belt, hitting the collaborator's hand against the metal structure, causing contusion in the left hand. at the time of the accident the employee used his leather gloves.",25,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C348>
2016-08-24,country_01,local_01,mining,1,2,male,employee,others,"once the topographic survey in the stp. 440 (east zone), the victim and his co-worker, decide to continue with their work in the stp. 440 (west), for this the injured person walks behind his co-worker (10 to 15 meters), when arriving at the loading zone (intersection rpa 175 and st 440) the injured person asks the sccop operator to stop to pass, once the equipment is stopped, the victim passes behind his partner stuck to the gable, trying to avoid the accumulation of water, when he takes the third step into the puddle, the injured person steps on the false and falls to the floor, causing the injury .",24,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C2C8>
2016-08-29,country_02,local_05,metals,1,2,male,employee,chemical substances,"the employee reports that after carrying out activity in the area of ​​the expedition was to remove the overalls and had contact with material that contaminated the sleeve, which caused 1st degree burn in the right forearm.",29,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C248>
2016-08-27,country_01,local_06,metals,1,2,male,employee,pressurized systems / chemical substances,"at 22:50 hours in row 12 when the cell suction partner removes the suction hose, untimely splashes of electrolyte solution in the left eye. immediately he was referred to the medical service.",27,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C1C8>
2016-08-30,country_02,local_08,metals,2,2,female,third party (remote),others,"during the execution of the area cleaning activity using a hoe, the employee hit against a fixed metal structure in the area, coming to reach the abdomen on the left.",30,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C148>
2016-08-30,country_01,local_06,metals,1,2,male,third party,others,"collaborator was cleaning the sink of the copper repulping area, at the moment of filling the truck with the shovel, he projects sludge towards the lenses; soiling them and obstructing vision. the worker indicates that when removing the lenses to clean them, some mud particles enter the left eye causing discomfort. it is referred to the medical center for the corresponding attention.",30,8,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C0C8>
2016-09-01,country_02,local_05,metals,2,4,male,third party (remote),manual tools,"the clerk was cutting the excess fiberglass in a passing box and had contact with the blade of the marble saw, which cut the glove and caused a wound in his right hand.",1,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A8C048>
2016-09-02,country_01,local_03,mining,1,1,male,third party,others,"at level 4150 (+80) unicon plant the collaborator was doing shuttering work in the concrete water sedimentation basin, at the moment of nailing a wood as it supplies on another 4 x 4 inch strip, he feels that the metallic hammer loosen the wooden handle and to fix it, he grabs the hammer by the head and hits the handle vertically on a wood, generating the injury. at the time of the accident the employee did not use his safety gloves.",2,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99F48>
2016-09-04,country_01,local_03,mining,1,3,male,third party,others,"on the surface, in the dining room of employees of the unit, while the collaborator performed the chicken habilitation for lunch using a kitchen knife, it comes into contact with the distal part of the second finger of the left hand causing the injury described . during the accident the employee did not use his specific height gloves for this type of work.",4,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99EC8>
2016-09-03,country_01,local_04,mining,3,4,male,employee,others,"during the maintenance work of the vertical pump (8 "") of zinc concentrate, the three mechanics were performing lifting maneuvers to be able to position the pump to the drawer, instants in which the pump becomes clogged by the reduced space of the work area and in order to release the pump they place a young lady in the lower part, at which time she is released and turns untimely, hitting the middle finger of the injured person's right hand against a 12 ""trellex hose.",3,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99E48>
2016-09-04,country_01,local_06,metals,4,4,male,employee,suspended loads,"in section 75 in row 12 cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. worker is seen in the medical and transferred to a clinic for external evaluation.",4,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99DC8>
2016-09-06,country_02,local_02,mining,1,2,male,employee,others,the check list of the area of ​​the survey the operator slipped in the foliage of the leucenas and fell.,6,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99D48>
2016-09-05,country_02,local_05,metals,1,2,female,employee,venomous animals,by participating in the general dds held in the outside area of ​​the central locker room the employee was bitten by a bee.,5,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99CC8>
2016-09-06,country_02,local_07,mining,1,2,male,employee,others,"the employee reports that when performing the maintenance activity of pump on the tunnel of the tc-020, as he was pulling out the rotor, struck the piece with the mallet that slipped from his hand. reaching the lower part of your left leg, causing the injury.",6,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99C48>
2016-09-13,country_01,local_03,mining,1,4,male,third party,others,"when trying to release the pipe (hdp pipe, 50m long and 2 ""diameter) stuck in the support mesh, the master loader and his assistant pull the pipe to release it, when the pipe is released hits the lateral part of the cheekbone and the eyelid worker's right generating the described injury.",13,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99BC8>
2016-09-12,country_01,local_11,others,3,4,female,employee,others,"in the city of conchucos, of ancash, participating in a patronal feast, representing the company, was mounted on a horse as part of the ceremony throwing fruits and toys to the people attending this public event, the noise of the materials pyrotechnics and people trying to collect the gifts caused the horse in front and very close to her horse to be frightened and kicked back hitting the lower limbs.",12,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99B48>
2016-09-13,country_02,local_05,metals,1,2,male,employee,suspended loads,"employee was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and caused a 1st degree burn.",13,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99AC8>
2016-09-15,country_03,local_10,others,1,1,male,third party,others,"when cutting the vegetation to open the bite, using a sickle, the assistant struck the vine twice. when the liana ruptured, the top of the branch projected against the face of the auxiliary causing the cut in the upper lip.",15,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99A48>
2016-09-17,country_01,local_06,metals,1,2,male,third party,pressed,"on september 17, 2016 at approximately 8:35 pm, during the preventive maintenance of the g2142 debarking machine, the bearing assembly is made on the anode cleaning roller; when fitting the bearing in its final position, the staff used a chisel and a 4-pound rope to position the bearing. the worker places his left hand near the head of the chisel and warps, in these circumstances a splinter is embedded in the proximal part of the thumb of the left hand, immediately the collaborator communicates to the supervisor and is evacuated to the medical for review.",17,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A999C8>
2016-09-16,country_02,local_05,metals,2,4,male,employee,pressurized systems,"employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm.",16,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99948>
2016-09-20,country_03,local_10,others,1,1,male,third party,fall,"collaborator around 9:00 am, cleaning the leaves of the return well of the 5021 borehole brapdd 0183 slipped on the canvas that was on the edge of the well, hitting the right side of the back against the metal structure of the mud-swathed box causing a slight excoriation. the employee was referred to the local hospital, medicated and released for the activities.",20,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A998C8>
2016-09-20,country_02,local_05,metals,1,2,male,third party (remote),blocking and isolation of energies,"the employee was performing maintenance of the blower, when the residual water projection occurred on his face. in an attempt to remove ppe, the injured person has had contact with contaminated gloves with the right eye causing irritation.",20,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99848>
2016-09-20,country_01,local_06,metals,1,2,male,third party,others,"the lubricating technician alfredo made the oil filling to the reducer d-100, in which, he notices an oil leak (tearing) between the connection of the hose and the reducer, correcting the leak. once the work is finished, he goes to the lubricants workshop where he removes the gloves and observes that both hands are affected by contact with the hot surface and goes to the medical center where he was treated.",20,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A997C8>
2016-09-21,country_01,local_03,mining,1,3,male,third party,others,"during the maintenance of the access, at the moment the assistant places the mini split set in the adapter, the clamp - which was locked - returns to its initial position hitting the collaborator's hand causing the described injury. at the time of the accident the team was in a sustained area, the arm of the jumbo was at a height of 0.80m from the floor and the employee was wearing rubber gloves.",21,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99748>
2016-09-21,country_02,local_05,metals,2,3,male,third party,manual tools,"employee was preparing rice using a utensil type skimmer to stir inside the pressure cooker when part of the cable broke, reaching its hand causing a blunt cut.",21,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A996C8>
2016-09-22,country_01,local_01,mining,1,4,male,employee,others,in circumstances in which the operator of bolter n ° 8 went down the ladder to the height of the resting platform - at 0.80 m. floor level - slips off balance by hitting your back against the handrail of the operator's door. at the time of the event the injured person used all his epp's.,22,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99648>
2016-09-22,country_01,local_06,metals,1,3,male,employee,others,"the technician operator when heading towards the zone of lifting containers of dust of zinc in the section 50, uses a space between base of tranquera and sardinel, slipping in the edge and raspándose left side of thorax. he was treated at the medical center with local treatment, returning to his work area.",22,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A995C8>
2016-09-27,country_01,local_06,metals,1,2,female,third party,pressurized systems,"at 14: 55h on 27 september, a worker from confipetrol carried out industrial cleaning of the outside of the acid reduction tank d2055, to check the progress of the helmet mask; moment that hose pipe was released that was secured with pressure clamp (for water and air), impacting lips",27,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99548>
2016-09-29,country_01,local_04,mining,1,2,male,third party,others,"being 05:30 am. approximately marco and isidro torres they were performing the pipe standardization of the cx 771 / cx-983 nv. 1940; in moments that marco lifts the air pipe over the spike, this seat and the pipe impacts on the worker's safety guard.",29,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A994C8>
2016-09-30,country_01,local_04,mining,1,1,male,employee,others,"being at 11:00 a.m. approximately the mechanic was removing the last bolt of the 6 ""nipple in the pump 4115 (lime feeder), reactive area, the mechanic is positioned slightly flexing the legs and performs upward force with both hands, in that moment feels a pain and a spume in the right thigh. the mechanic is evacuated with the help of his colleagues to the medical post.",30,9,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99448>
2016-10-01,country_01,local_04,mining,2,3,male,third party,others,"being 10:50 a.m. approximately, in the maintenance workshop of the e.e unicon, in circumstances that two mechanical technicians placed the protective plate (30 kg.) of the mixkret 111 fuel tank, at the moment of attempting to bolt this protective plate it slips from the hands of one of them falling directly on the instep of the left foot, causing the injury described.",1,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A993C8>
2016-10-03,country_01,local_04,mining,1,2,male,third party,others,"being 5:15 a.m. in the n. in the nv 1710 cx 018, the mixkret operator was washing the mixkret 116 with a hose with water under pressure, it is necessary to change the location; from the right side to the left and he proceeds to pull the hose then slips and feels that the left foot bends.",3,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99348>
2016-10-03,country_02,local_05,metals,1,3,male,employee,pressed,"after carrying out the supply operation of the zinc powder container using the crane to move it, the employee closed the lower lock of this same container and when making the movement to push the lock made an excessive effort with the thumb of the right hand, causing sprain.",3,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A992C8>
2016-10-03,country_02,local_08,metals,1,2,male,employee,pressed,during the withdrawal of cathode sample the employee came to press the finger with the tool that cuts the sample.,3,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99248>
2016-10-03,country_01,local_03,mining,1,4,male,third party,others,"at the intersection of level 3970 - main road and access to the south ramp, the collaborator, after having freed the tube 2 inches in diameter from the gable, descended holding the pipe on the fourth step of a telescopic aluminum ladder (approximately at 1.20 meters from the floor) at which point another clamping point in the gable is lifted by lifting the tube which pulls the worker causing him to lose balance and fall from a height of 1.20 meters. the described injury occurring.",3,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A991C8>
2016-10-04,country_03,local_10,others,3,3,male,employee,others,"in the probe 5068 bore bapdd00146, around 15:00 hours, the polling assistant luciano da silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. his hand had slipped and his little finger was between the rod and the easel. realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. the auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",4,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99148>
2016-10-08,country_01,local_04,mining,2,2,male,third party,others,"at the offices of incimmet, in circumstances that an environment was being set up to place cleaning materials, a wooden strip was placed between the staircase structure and the container, this strip was not cut to size, so the accident victim he coordinated with his partner to put it under pressure using a hammer while holding with his right hand the frame, this pressure placed strip pushed to that side of the container creating an opening between the corrugated iron and the wall, at that time, continuing to hit the ribbon, this falls causing the wall of the container to return to its initial position, pressing the tip of the little finger of the right hand against the corrugated iron causing the accident.",8,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A990C8>
2016-10-10,country_01,local_03,mining,1,4,male,third party (remote),others,"in the area of ​​equipment inspection, while the staff of the atenuz ee, trying to remove the hydraulic hammer safety locks of the excavator, the mechanical lubricator holds with his right hand a hat-type chisel while the equipment mechanic hit the chisel with a 2-pound rubber bump to remove the safety, at which point one of the blows falls on the edge of the hat-type protector, causing it to slip and strike the fourth finger of the lubricant mechanic's right hand generating the described injury. at the time of the accident, the lubricator mechanic had put on the gloves type pad.",10,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7A99048>
2016-10-10,country_01,local_04,mining,3,4,male,employee,others,"being approx. 23:45 hrs. mr. eliseo secondary crushing operator, when retiring to his snack, finds the gate of the chute of strip 6 open, and when approaching to close the gate, in that at that moment, the operator mr. samuel who was on the upper platform, coordinates with the operator of the control room the start of strip 6-1, at that moment the start-up product projects a particle (10x6x5cm) impacting on the flange of the gate and projecting to towards the height of the lenses and respirator of mr. eliseo.",10,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5F48>
2016-10-11,country_02,local_05,metals,1,3,male,employee,chemical substances,employee was doing cleaning near the area of ​​the pneumatic conveyor when he was hit by a drop of sulfuric acid on his upper lip.,11,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5EC8>
2016-10-13,country_02,local_02,mining,2,2,male,third party (remote),others,"employee assisted in the support of the gate, while the other the tying of the canvas in the frame, and by pressing the rope so that the canvas stretched, the metal structure moved, coming out of the wooden support, falling and striking against the employee's face, causing a cut in the right superciliary.",13,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5E48>
2016-10-13,country_01,local_03,mining,3,4,male,employee,others,"in phase i, the operator carried out the removal of inchancanbles of the reciprocating feeder, while removing a split set with the support of a rope, the staff supports the left hand on the structure of the protection against falling, it is at this moment that another split set comes out together with the load and hits on the distal phalanx of the fifth finger of the left hand, generating the described injury.",13,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5DC8>
2016-10-18,country_01,local_03,mining,4,4,male,third party,others,"in circumstances that the assistant of mine was arranging to advance the hose of flexible nylon of 1 ""of diameter, to proceed with the watered of shot fired, positioning itself under a zone with the support deteriorated by the last blasting, moment in which it gives off a block of rock (25cmx10cmx5cm; 3.5 kg) of the roof of the work of a height of 5.2 meters which when falling hits by rebound in the left leg of the collaborator causing the described injury.",18,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5D48>
2016-10-18,country_01,local_03,mining,1,4,male,third party,others,"inside mine during the diamond drilling of a positive 15 ° drill, in moments when the control tube was rescued with the fisherman, the winch cable breaks untimely developing a whiplash effect and impacting on the left hand of the drilling assistant causing the described injury. at the time of the accident the drilling assistant was on the platform at 1.0m from the frame and was using his hycron-type safety gloves.",18,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5CC8>
2016-10-20,country_02,local_05,metals,1,3,male,employee,pressurized systems,"as the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise.",20,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5C48>
2016-10-23,country_02,local_02,mining,2,4,male,employee,others,"in the activity of loading of explosives in front of level 326 gts, there was a fall of a rock fragment reaching right arm of the blaster causing a cut-blunt.",23,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5BC8>
2016-10-24,country_01,local_01,mining,1,4,male,third party,others,"in circumstances that the mechanical technician and his work colleague arranged to accommodate the spare (rollover) of the small 02 on the platform of the cart on the floor, the two squat collaborators decide to push one on each side, at which time one edge of the rollover imprisons the third finger of left hand against the handle of the cart on the right side, causing the wound on the third finger left hand. at the time of the accident both employees used their respective gloves.",24,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5B48>
2016-10-26,country_01,local_01,mining,3,4,male,employee,others,"once the ore loading in the lt-30 locomotive was completed; the penultimate car derails (7th car), by the presence of fragment of rock in the railway line, (weight of the car with mineral 8 tons), and to get it back on track the mining car, the victim makes use of a metal tube (length 1.20 meters and 4 ""diameter) to maneuver and reposition the mining car; at that moment the metallic tube loses stability and imprisons the victim's hand against the strut of the mining car. the collaborator at the time of the event towards the use of his leather gloves.",26,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5AC8>
2016-10-27,country_01,local_03,mining,1,4,male,employee,others,"at a time when the heavy equipment operator got on the equipment to check the right front headlight (defective) of the scooptram # 181, position on the rim position # 2 his left leg which slides, causing the heavy equipment operator to fall from a height of 0.60 cm",27,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5A48>
2016-10-29,country_01,local_03,mining,1,4,male,employee,others,"in the alimak chimney of level 2440, the alimakero driller and his assistant are positioned in the main cage with guard heads and proceed to perform the rock untie at the top of the chimney, it is at this time that the teacher perceives a spark of rock in the top and communicates to the assistant so that this prevented, when falling the rock of 1.0x0.80x0.20 m on the guard heads is fragmented and one of the fragments fall on the chain and rebound rubs the operator's right hand generating the described injury.",29,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA59C8>
2016-10-29,country_02,local_08,metals,4,4,male,employee,pressed,"in the activity of placing boards on racks for the exchange of fabrics of the filters, one of the plates was inclined, trying to put the plate in the correct position, the plate arm pressed the back of the right hand against the structure of the easel",29,10,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5948>
2016-11-04,country_01,local_03,mining,4,5,male,employee,others,"when observing the pulp overflow of the overflow reception drawer of the thickener, the filter operator approaches to verify the operation of the c7-26 pump, making sure that it was stopped. so press the keypad to start the pump and not getting the start, proceeds to remove the guard and manipulates the motor - pump transmission strips, being left hand imprisoned between the pulley of motor and transmission belt",4,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA58C8>
2016-11-08,country_01,local_04,mining,1,4,male,employee,others,"mr. eriks after having completed the change of guide pole in the conveyor belt 7-1, the collaborator moved to the other side of the belt to remove the tecl, passes under the stairs without getting to observe that in that moment the collaborator jhon dropped an inchancable of a weight approx. of 15 kg. from the entrance platform to the chute of discharge, at a height of 1.80 meters, the iron grazed him on the forearm, finally hitting his left foot at the height of the instep.",8,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5848>
2016-11-08,country_02,local_08,metals,1,2,male,employee,others,"when igniting the furnace 07 of the battery i, there was reflux of hot gas, reaching the face of the employee.",8,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA57C8>
2016-11-11,country_01,local_06,metals,4,4,male,employee,others,"approximately at 02:10 a.m. mr. wilmer approaches the c150 drying tower for the placement of a blanket, to cover the entrance manhole of the tower; at that moment the manhole cover resting on the railing slides, impacting on his right leg.",11,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5748>
2016-11-13,country_01,local_06,metals,1,2,male,employee,plates,"being the 01:30 hrs, after the cathode goes through the pre estriping, the sheets are detached and bend to the cathode of its position, the operator with the assistant lift the cathode by the head to position it in the tranfer at that moment the detached sheet exerts pressure on the cathode hitting the palm of the left hand of the operator with the head and the transfe, activity is paralyzed and the collaborator is referred to the medical post by the head of the guard.",13,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA56C8>
2016-11-19,country_01,local_04,mining,3,4,male,third party,others,"the workers: césar (injured) and nilton receive the order of their immediate supervisor román to carry out the assembly activity of a brace (length 4.60 m, approximate weight 50 kg) of the structure of the nro belt. 2, said collaborators lift the brace and approach it to the installation point, leaving one end on the ground and the other resting on the corner of the pedestal (approximate height of 40 cm). after carrying out the planning of the work, the injured person lifts the end part that was on the floor to turn and position it for assembly, at that moment the other end falls generating the imprisonment of the fingers of the left hand. staff is taken to the medical center by the supervisor.",19,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5648>
2016-11-21,country_03,local_10,others,1,1,male,third party,others,"in the region of povoado vista - martinópole - ce, the employee fábio de vieira performed soil collection activities in the field, together with the auxiliaries manoel da silva and diassis do nascimento, when around 10:00 am, when crossing a fence his glove was attached to the wire and his body projected forward causing a slight twist of the left wrist. the team traveled to the city of granja and the employee was referred to the hospital for consultation. the doctor did not diagnose a fracture, prescribing remedy for local pain and ice packs. by medical evaluation the employee can carry out his activities normally.",21,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA55C8>
2016-11-23,country_01,local_06,metals,1,4,male,employee,others,"the operator when descending by ladder of sailor of 6 steps, falls to the floor going down of the 3er. step, falling on his back and hitting his head. the worker used the chin strap with the helmet, a safety element that reduced the injury from the blow. he was treated at the medical center with local treatment, referred to the clinic for re-evaluation.",23,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5548>
2016-11-23,country_01,local_04,mining,1,2,male,employee,others,"being approx. 3:10 a.m. mr. denis made the mesh placed in a ventilation plug up a ladder, while trying to do a wire tie, suddenly had an imbalance due to the manipulation of tools falling from the third step, propiciándose a blow in the right knee and a wound of the wrist of the right hand. later he was evacuated to the post where he received first aid.",23,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA54C8>
2016-11-25,country_02,local_07,mining,1,2,male,employee,others,the employee reports that upon initiating 615 rlc front loading activity while performing the emulsion preparation for use there was a displacement of a small rock fragment from the ceiling reaching his left forearm,25,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5448>
2016-11-28,country_01,local_03,mining,1,1,male,third party,others,"in level 2900 dining room, the collaborator finished washing tabolas (food containers) of dimensions 52 cm x 30 cm x 20 cm, proceed to order them by pinking the thumb of the right hand in the corner of the aluminum tabola, generating the lesion. the employee at the time of the accident did not have safety gloves.",28,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA53C8>
2016-11-29,country_02,local_08,metals,2,3,male,employee,others,"during the exchange of the shock-bearing housing, the employee used a sledgehammer to hit the pipe. at this stage of the activity the hammer hit the stepladder that was very close, coming to (hand tool) to be projected onto the left hand thumb, which was holding the piece.",29,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5348>
2016-11-30,country_01,local_03,mining,1,2,male,third party,others,"after the welder completed the welding work to reinforce the forms in the deepening, he walked towards the distant truck at about 40 mt, at which point the welder stepped on a fragment of rock of 5 cm x 10cm x 5cm approx. which generates that the foot flexes and generates the injury in the worker.",30,11,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA52C8>
2016-12-01,country_01,local_03,mining,1,4,male,employee,others,"during the activity of chuteo of ore in hopper op5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",1,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5248>
2016-12-01,country_01,local_03,mining,1,4,male,employee,others,"during the activity of chuteo of ore in hopper op5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",1,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA51C8>
2016-12-01,country_01,local_03,mining,1,4,male,third party,others,"during the activity of chuteo of ore in hopper op5; the operator of the locomotive parks his equipment under the hopper to fill the first car, it is at this moment that when it was blowing out to release the load, a mud flow suddenly appears with the presence of rock fragments; the personnel that was in the direction of the flow was covered with mud.",1,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5148>
2016-12-08,country_01,local_01,mining,1,4,male,employee,suspended loads,"at times when four mechanics performed the removal of a (1tm) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 kg of weight) when pulling the chain the eyebolt that held the click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. the tirfor was used during the activity as a second protection to prevent the engine from falling.",8,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA50C8>
2016-12-08,country_01,local_01,mining,1,3,male,third party (remote),others,"at times when four employees lowered a metal sheet (1.5mx1.8m; m 80kg) towards the floor from a height of 20 cm., the assembly assistant does not timely remove the hand, trapping his ring finger between the iron and loose earth causing a contusion on his ring finger. the collaborator at the time of the event to use their maneuver gloves.",8,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA5048>
2016-12-09,country_02,local_02,mining,2,3,male,third party (remote),others,"during the withdrawal of the metal form support screw in the inside of well 2, when the bolt of the chain holder was loosened, the employee and a helper exerted force on the combination wrench, when the bolt came to loosen immediately, pressing the ring finger of the employee's right hand against the support.",9,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9F48>
2016-12-10,country_01,local_04,mining,1,2,male,third party,others,"at 18:40 hours, in moments when mr. claudio tipper operator readjusted the nuts of the rear tire on the right side of his vehicle, using a wheel wrench and a tube as an extension to generate greater force of torque; which was mr. wilber held him in his back; suffers a contusion in the palm of the right hand as the extension to his partner slips from his hands.",10,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9EC8>
2016-12-12,country_02,local_08,metals,1,2,male,employee,others,"when entering the caustic soda containment basin to place the hose to make the suction, at this stage there was steam formation, striking the employee in the right and left calf.",12,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9E48>
2016-12-13,country_02,local_02,mining,1,2,male,third party (remote),others,"during the activities of revegetation of the slopes of the pit pit ii, the employee hitting the sledgehammer on the rods for installation of the lifeline, it hit his right leg, causing a slight excoriation.",13,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9DC8>
2016-12-12,country_01,local_04,mining,3,3,male,employee,others,"when performing the doosan rb-10 equipment hammer repair, the employee tries to remove the suspenders with the support of a 25-pound rope; at the moment of receiving the blow the brace or bolt causes a splinter to be released, expelling and impacting on the lower left limb causing metal embedding in it. the collaborator did not notice immediately.",12,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9D48>
2016-12-12,country_02,local_05,metals,1,2,male,third party (remote),others,"employee reports that he performed an activity in the area of ​​the ustulación, under the coordination of maintenance when he was hit by dust from the ustulado, causing irritation in the eye region.",12,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9CC8>
2016-12-13,country_01,local_06,metals,1,2,male,third party,others,"on december 13, the accessories coupling (gun - hose) of the high pressure pump (bap) was made to clean the demister of the cooling tower g2172. carrying out the complete coupling, they turn on the bap to start with the start test, at that moment the hose comes off the gun and hits mr. emerson who was holding the gun.",13,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9C48>
2016-12-15,country_02,local_05,metals,1,3,male,employee,others,"employee reports that when returning the anode to the easel the even bumped into the side of the easel coming to swing and hit his right shoulder, causing bruise.",15,12,2016,<built-in method day_name of Timestamp object at 0x000001B2C7AA9BC8>
